fact_id,layer,variant_a,variant_b,is_correct_a,is_correct_b,pair_type,sae_cosine_distance,sae_l2_distance,active_jaccard_distance
fact_0001,6,original,leading_space,True,False,correct_wrong,0.019195497035980225,9.125931739807129,0.25
fact_0001,6,original,trailing_space,True,True,correct_correct,0.009273052215576172,5.952080249786377,0.17142857142857137
fact_0001,6,original,space_before_qmark,True,True,correct_correct,0.007330119609832764,5.304900169372559,0.17142857142857137
fact_0001,6,original,no_qmark,True,False,correct_wrong,0.03618443012237549,11.779560089111328,0.4444444444444444
fact_0001,6,original,lower_first_char,True,True,correct_correct,0.015526056289672852,7.682832717895508,0.17647058823529416
fact_0001,6,original,double_first_space,True,False,correct_wrong,0.015091240406036377,7.630494594573975,0.3055555555555556
fact_0001,6,leading_space,trailing_space,False,True,correct_wrong,0.02772587537765503,10.868371963500977,0.375
fact_0001,6,leading_space,space_before_qmark,False,True,correct_wrong,0.026542186737060547,10.620341300964355,0.375
fact_0001,6,leading_space,no_qmark,False,False,wrong_wrong,0.04957956075668335,14.35451602935791,0.5208333333333333
fact_0001,6,leading_space,lower_first_char,False,True,correct_wrong,0.03318566083908081,11.891879081726074,0.3421052631578947
fact_0001,6,leading_space,double_first_space,False,False,wrong_wrong,0.023454010486602783,9.994332313537598,0.32432432432432434
fact_0001,6,trailing_space,space_before_qmark,True,True,correct_correct,0.012001097202301025,6.779047966003418,0.21621621621621623
fact_0001,6,trailing_space,no_qmark,True,False,correct_wrong,0.04187953472137451,12.651524543762207,0.46808510638297873
fact_0001,6,trailing_space,lower_first_char,True,True,correct_correct,0.021929144859313965,9.094171524047852,0.2702702702702703
fact_0001,6,trailing_space,double_first_space,True,False,correct_wrong,0.017095327377319336,8.11279296875,0.29729729729729726
fact_0001,6,space_before_qmark,no_qmark,True,False,correct_wrong,0.026170790195465088,10.026931762695312,0.32558139534883723
fact_0001,6,space_before_qmark,lower_first_char,True,True,correct_correct,0.01916372776031494,8.543509483337402,0.2702702702702703
fact_0001,6,space_before_qmark,double_first_space,True,False,correct_wrong,0.02072310447692871,8.946441650390625,0.3846153846153846
fact_0001,6,no_qmark,lower_first_char,False,True,correct_wrong,0.04874873161315918,13.585693359375,0.4444444444444444
fact_0001,6,no_qmark,double_first_space,False,False,wrong_wrong,0.04462277889251709,13.121036529541016,0.5
fact_0001,6,lower_first_char,double_first_space,True,False,correct_wrong,0.027123332023620605,10.187492370605469,0.3513513513513513
fact_0001,9,original,leading_space,True,False,correct_wrong,0.07199293375015259,15.098453521728516,0.3214285714285714
fact_0001,9,original,trailing_space,True,True,correct_correct,0.008291125297546387,5.307397365570068,0.1071428571428571
fact_0001,9,original,space_before_qmark,True,True,correct_correct,0.01588571071624756,7.16926908493042,0.1428571428571429
fact_0001,9,original,no_qmark,True,False,correct_wrong,0.034951627254486084,10.866904258728027,0.25
fact_0001,9,original,lower_first_char,True,True,correct_correct,0.04177790880203247,11.711913108825684,0.2068965517241379
fact_0001,9,original,double_first_space,True,False,correct_wrong,0.013840079307556152,6.77149772644043,0.14814814814814814
fact_0001,9,leading_space,trailing_space,False,True,correct_wrong,0.08069121837615967,16.23099708557129,0.3448275862068966
fact_0001,9,leading_space,space_before_qmark,False,True,correct_wrong,0.09380912780761719,17.21114730834961,0.3793103448275862
fact_0001,9,leading_space,no_qmark,False,False,wrong_wrong,0.12979531288146973,20.651275634765625,0.5
fact_0001,9,leading_space,lower_first_char,False,True,correct_wrong,0.10122483968734741,18.031288146972656,0.3793103448275862
fact_0001,9,leading_space,double_first_space,False,False,wrong_wrong,0.06275975704193115,14.2659912109375,0.2692307692307693
fact_0001,9,trailing_space,space_before_qmark,True,True,correct_correct,0.01813715696334839,7.79454231262207,0.1724137931034483
fact_0001,9,trailing_space,no_qmark,True,False,correct_wrong,0.041548848152160645,11.904592514038086,0.2727272727272727
fact_0001,9,trailing_space,lower_first_char,True,True,correct_correct,0.03889530897140503,11.417401313781738,0.1724137931034483
fact_0001,9,trailing_space,double_first_space,True,False,correct_wrong,0.009203135967254639,5.564881324768066,0.11111111111111116
fact_0001,9,space_before_qmark,no_qmark,True,False,correct_wrong,0.045674145221710205,12.40185832977295,0.303030303030303
fact_0001,9,space_before_qmark,lower_first_char,True,True,correct_correct,0.05310714244842529,13.196599960327148,0.2666666666666667
fact_0001,9,space_before_qmark,double_first_space,True,False,correct_wrong,0.02452749013900757,8.99720287322998,0.2142857142857143
fact_0001,9,no_qmark,lower_first_char,False,True,correct_wrong,0.04922705888748169,12.91312313079834,0.25
fact_0001,9,no_qmark,double_first_space,False,False,wrong_wrong,0.053105711936950684,13.42403507232666,0.36363636363636365
fact_0001,9,lower_first_char,double_first_space,True,False,correct_wrong,0.0406956672668457,11.63556957244873,0.2142857142857143
fact_0001,12,original,leading_space,True,False,correct_wrong,0.06292659044265747,18.768239974975586,0.39622641509433965
fact_0001,12,original,trailing_space,True,True,correct_correct,0.018423140048980713,9.579375267028809,0.18604651162790697
fact_0001,12,original,space_before_qmark,True,True,correct_correct,0.025344491004943848,11.131620407104492,0.25
fact_0001,12,original,no_qmark,True,False,correct_wrong,0.0764317512512207,20.07218360900879,0.48275862068965514
fact_0001,12,original,lower_first_char,True,True,correct_correct,0.039078474044799805,13.853830337524414,0.2790697674418605
fact_0001,12,original,double_first_space,True,False,correct_wrong,0.016884684562683105,9.161447525024414,0.1707317073170732
fact_0001,12,leading_space,trailing_space,False,True,correct_wrong,0.06153452396392822,18.561439514160156,0.3584905660377359
fact_0001,12,leading_space,space_before_qmark,False,True,correct_wrong,0.07571446895599365,20.53854751586914,0.4509803921568627
fact_0001,12,leading_space,no_qmark,False,False,wrong_wrong,0.11477303504943848,25.417879104614258,0.5522388059701493
fact_0001,12,leading_space,lower_first_char,False,True,correct_wrong,0.08476334810256958,21.649139404296875,0.4339622641509434
fact_0001,12,leading_space,double_first_space,False,False,wrong_wrong,0.05965203046798706,18.289371490478516,0.3846153846153846
fact_0001,12,trailing_space,space_before_qmark,True,True,correct_correct,0.03172832727432251,12.499521255493164,0.2857142857142857
fact_0001,12,trailing_space,no_qmark,True,False,correct_wrong,0.07234114408493042,19.55515480041504,0.4482758620689655
fact_0001,12,trailing_space,lower_first_char,True,True,correct_correct,0.040925681591033936,14.224337577819824,0.2727272727272727
fact_0001,12,trailing_space,double_first_space,True,False,correct_wrong,0.008576571941375732,6.545609474182129,0.07499999999999996
fact_0001,12,space_before_qmark,no_qmark,True,False,correct_wrong,0.07021331787109375,19.2114315032959,0.4528301886792453
fact_0001,12,space_before_qmark,lower_first_char,True,True,correct_correct,0.04702138900756836,15.022309303283691,0.30000000000000004
fact_0001,12,space_before_qmark,double_first_space,True,False,correct_wrong,0.02591252326965332,11.293622016906738,0.23076923076923073
fact_0001,12,no_qmark,lower_first_char,False,True,correct_wrong,0.09405255317687988,22.1888427734375,0.5172413793103448
fact_0001,12,no_qmark,double_first_space,False,False,wrong_wrong,0.08098959922790527,20.669355392456055,0.4736842105263158
fact_0001,12,lower_first_char,double_first_space,True,False,correct_wrong,0.050859272480010986,15.836359024047852,0.34090909090909094
fact_0002,6,original,leading_space,False,True,correct_wrong,0.01784062385559082,8.70685863494873,0.2777777777777778
